Date,Open,High,Low,Close,Volume
03-01-2017,215.695,216.4522,214.5867,215.8867,91366522
04-01-2017,216.2509,217.334,216.2413,217.171,78744433
05-01-2017,216.8739,217.171,216.1167,216.9985,78379012
06-01-2017,217.1231,218.2924,216.5193,217.7749,71559922
09-01-2017,217.4873,217.6408,217.0141,217.056,46939676
10-01-2017,217.0752,218.0049,216.6247,217.056,63771939
11-01-2017,216.9602,217.6694,216.2221,217.6694,74650016
12-01-2017,217.0943,217.334,215.6135,217.1231,72113181
13-01-2017,217.3148,217.957,217.2765,217.6215,62717865
17-01-2017,216.9122,217.3627,216.4234,216.8547,61240814
18-01-2017,217.1279,217.3819,216.5193,217.334,54793302
19-01-2017,217.4202,217.5736,216.0496,216.5288,66608787
20-01-2017,217.286,217.8707,216.5882,217.3244,129168623
23-01-2017,216.9506,217.3867,215.9154,216.7589,75061645
24-01-2017,216.9985,218.6087,216.8739,218.1487,95555295
25-01-2017,219.203,220.0369,219.0209,220.0369,84437712
26-01-2017,219.8739,220.171,219.5001,219.8068,59970719
27-01-2017,219.8931,220.056,219.2605,219.4618,59695224
30-01-2017,218.695,218.7238,217.0081,218.1007,79737252
31-01-2017,217.5544,218.1487,216.9218,218.0816,75880805
01-02-2017,218.7765,219.0976,217.5161,218.1678,79117651
02-02-2017,217.7653,218.6279,217.4011,218.3116,69657560
03-02-2017,219.318,220.0177,218.973,219.8164,80563168
06-02-2017,219.3659,219.803,219.0496,219.4234,57790108
07-02-2017,219.8547,220.1189,219.2222,219.433,57931151
08-02-2017,219.1167,219.8643,218.8292,219.7206,51566218
09-02-2017,220.0273,221.3596,219.9889,221.0241,65955245
10-02-2017,221.4075,222.1455,221.0448,221.8963,66015892
13-02-2017,222.4426,223.3915,222.4139,223.104,55182050
14-02-2017,222.9027,224.0049,222.5193,223.9954,71108983
15-02-2017,223.7557,225.3756,223.6982,225.1647,86785826
16-02-2017,225.203,225.3899,224.1391,224.973,84722437
17-02-2017,224.235,225.3276,224.2158,225.3276,77204104
21-02-2017,225.7398,226.8612,225.7302,226.6695,88946051
22-02-2017,226.219,226.7174,226.0369,226.4682,62115185
23-02-2017,227.0433,227.0625,225.7781,226.6216,74615902
24-02-2017,225.6823,226.9601,225.6343,226.9091,82381612
27-02-2017,226.8133,227.4555,226.5353,227.2638,56515440
28-02-2017,226.842,227.1104,226.2142,226.6503,96961938
01-03-2017,228.4906,230.3405,228.4714,229.8229,149158170
02-03-2017,229.612,229.6216,228.3181,228.3756,70245978
03-03-2017,228.2797,228.7015,227.858,228.5194,81974300
06-03-2017,227.6376,228.2318,227.1679,227.8388,55391533
07-03-2017,227.5034,227.8963,226.9283,227.1583,65103737
08-03-2017,227.4842,227.7717,226.5832,226.7366,78168795
09-03-2017,226.8708,227.3884,225.9506,227.0241,90683918
10-03-2017,228.088,228.136,226.7654,227.8197,81991652
13-03-2017,227.7526,227.9826,227.3884,227.9347,57256824
14-03-2017,227.3308,227.3884,226.382,227.0625,59880778
15-03-2017,227.6951,229.497,227.4363,229.0273,96081750
16-03-2017,229.1807,229.267,228.2126,228.5769,78343951
17-03-2017,228.8686,229.0804,228.1755,228.1755,89002111
20-03-2017,228.1755,228.4932,227.4921,227.9252,52536979
21-03-2017,228.5991,228.7339,224.8544,224.9988,131809275
22-03-2017,225.0373,225.8459,224.3442,225.5283,97569204
23-03-2017,225.2587,226.5487,224.8737,225.2876,100410277
24-03-2017,225.6245,226.2599,224.2576,225.124,112504853
27-03-2017,223.266,225.1817,222.958,224.8929,87454452
28-03-2017,224.556,227.0011,224.4308,226.5294,93483915
29-03-2017,226.2117,227.0011,225.9566,226.7412,61950354
30-03-2017,226.6738,227.6846,226.4813,227.4632,56737890
31-03-2017,227.0877,227.675,226.876,226.9337,73733094
03-04-2017,226.9915,227.2129,225.1721,226.539,85546486
04-04-2017,226.2214,226.7797,225.793,226.6834,56466195
05-04-2017,227.4343,228.5221,225.7785,226.0096,108800604
06-04-2017,226.1636,227.2225,225.6678,226.6449,69135757
07-04-2017,226.3658,227.184,225.8748,226.4139,74386480
10-04-2017,226.5679,227.4295,225.9615,226.5487,67615302
11-04-2017,226.1251,226.3946,224.6234,226.2791,88045276
12-04-2017,225.9711,226.1829,225.0373,225.2876,81864436
13-04-2017,224.9122,225.7304,223.8244,223.8244,92880394
17-04-2017,224.402,225.8074,224.1806,225.8074,68405367
18-04-2017,224.9892,225.7304,224.3731,225.1336,83225821
19-04-2017,225.7593,226.1732,224.4694,224.7196,68699868
20-04-2017,225.4031,227.0348,225.0469,226.5487,92572186
21-04-2017,226.462,226.5198,225.3839,225.8267,110389847
24-04-2017,228.3199,228.5413,225.8005,228.3103,119209877
25-04-2017,229.0227,230.0238,228.9264,229.6388,76698265
26-04-2017,229.6002,230.5821,229.4462,229.4944,84702455
27-04-2017,229.8505,230.0238,229.09,229.6869,57410326
28-04-2017,229.9757,230.0046,229.0419,229.1863,63532845
01-05-2017,229.7639,230.2356,229.297,229.7639,66882521
02-05-2017,229.9179,230.0527,229.3981,229.8505,57375732
03-05-2017,229.3885,229.954,228.8205,229.5714,73137731
04-05-2017,229.9083,229.9973,228.8975,229.8409,61443570
05-05-2017,230.2548,230.765,229.7639,230.7458,62001269
08-05-2017,230.7939,230.9576,230.2356,230.7073,48385730
09-05-2017,230.9961,231.2175,230.1104,230.4955,51363200
10-05-2017,230.4474,230.9094,230.2163,230.9094,54293799
11-05-2017,230.4089,230.6207,229.2344,230.4377,62358346
12-05-2017,230.1586,230.4833,229.7543,230.0527,53912730
15-05-2017,230.5244,231.4581,230.5051,231.3234,61918937
16-05-2017,231.6507,231.6796,230.6784,231.1116,51241791
17-05-2017,229.2056,229.7254,226.9434,227.0107,172174107
18-05-2017,226.9241,228.8686,226.6353,227.9252,107047656
19-05-2017,228.4643,230.149,228.4066,229.4077,115011373
22-05-2017,229.9757,230.7554,229.8987,230.5725,61010602
23-05-2017,230.9865,231.2656,230.5629,231.0827,48341683
24-05-2017,231.3426,231.7373,230.9672,231.6218,49181099
25-05-2017,232.1898,233.0369,231.9587,232.7288,64071661
26-05-2017,232.5171,232.8636,232.4304,232.6807,46629905
30-05-2017,232.3245,232.7577,232.1513,232.4786,35201897
31-05-2017,232.8059,232.8444,231.6507,232.4208,91796016
01-06-2017,232.931,234.2883,232.6133,234.2691,68962024
02-06-2017,234.3268,235.2221,233.9995,235.0488,88666128
05-06-2017,234.8563,235.174,234.6541,234.8755,44698825
06-06-2017,234.2498,234.8659,234.038,234.1247,50375430
07-06-2017,234.5001,234.8082,233.7589,234.5579,54144311
08-06-2017,234.6638,235.2028,234.0862,234.6734,65950691
09-06-2017,234.9718,235.8574,232.9117,234.3172,132256362
12-06-2017,234.0477,234.3268,233.3257,234.2691,86108102
13-06-2017,234.8659,235.4724,234.4808,235.4146,60066953
14-06-2017,235.713,235.7227,234.2017,235.1162,78602311
15-06-2017,233.6145,234.7985,233.3064,234.6638,66464888
16-06-2017,234.8408,234.8988,233.7416,234.715,84553097
19-06-2017,235.634,236.7368,235.5276,236.6691,65123802
20-06-2017,236.2725,236.2821,235.0536,235.073,56906368
21-06-2017,235.4696,235.634,234.4925,235.0149,55977569
22-06-2017,235.0246,235.576,234.715,234.9085,44148059
23-06-2017,234.9762,235.5566,234.5506,235.189,66986801
26-06-2017,235.9339,236.3982,235.1068,235.3438,56700477
27-06-2017,235.102,235.4309,233.4285,233.4478,82247666
28-06-2017,234.5796,235.7549,234.3184,235.5373,70042599
29-06-2017,235.7017,235.7598,232.1177,233.4672,106949719
30-06-2017,234.3668,234.7828,233.6848,233.9025,86820694
03-07-2017,234.9472,235.4309,234.2991,234.2991,39153806
05-07-2017,234.7054,235.073,233.8057,234.8408,54427596
06-07-2017,233.9895,234.125,232.4902,232.6933,66115317
07-07-2017,233.3317,234.3668,232.7073,234.2023,57972268
10-07-2017,234.0476,234.8698,233.8638,234.4539,36663274
11-07-2017,234.2507,234.628,232.9835,234.2797,50354614
12-07-2017,235.3535,236.2241,235.3535,236.0403,59610405
13-07-2017,236.05,236.5627,235.7985,236.4369,39471637
14-07-2017,236.4466,237.9363,236.3305,237.5397,60262692
17-07-2017,237.4526,237.8782,237.3172,237.5106,33531917
18-07-2017,237.056,237.6944,236.6787,237.6364,42742498
19-07-2017,237.9846,238.9326,237.975,238.923,51034260
20-07-2017,239.2035,239.3389,238.4199,239.0294,47135183
21-07-2017,238.3909,238.8456,238.1394,238.8166,88711019
24-07-2017,238.7295,238.9133,238.2362,238.7585,46622256
25-07-2017,239.5904,239.7065,239.0874,239.3389,54915591
26-07-2017,239.6581,239.6968,239.0584,239.3486,47575422
27-07-2017,239.8613,239.9,237.6557,239.1261,70766568
28-07-2017,238.5941,238.9907,238.091,238.8456,50088359
31-07-2017,239.2905,239.397,238.478,238.7101,65838659
01-08-2017,239.3776,239.4163,238.6579,239.2422,55050401
02-08-2017,239.3873,239.513,238.3232,239.3583,47211216
03-08-2017,239.2325,239.2615,238.5844,238.8939,40855997
04-08-2017,239.4357,239.6968,238.9036,239.3292,60191838
07-08-2017,239.4066,239.7742,239.2905,239.7742,31995021
08-08-2017,239.426,240.7803,238.7682,239.1841,61719353
09-08-2017,238.4199,239.2325,238.0233,239.1745,62632619
10-08-2017,238.2458,238.3909,235.7404,235.7985,120479470
11-08-2017,236.05,236.8045,235.7888,236.1467,74869947
14-08-2017,237.5687,238.7295,237.53,238.4877,73291919
15-08-2017,238.9133,238.9326,238.1201,238.4586,55242746
16-08-2017,239.039,239.484,238.4006,238.8746,56715544
17-08-2017,238.1975,238.5457,235.1503,235.1503,128490396
18-08-2017,234.9665,236.2134,234.2894,234.7828,136747986
21-08-2017,234.715,235.2567,233.9315,234.9665,65469736
22-08-2017,235.6147,237.5977,235.5953,237.4236,63140101
23-08-2017,236.3498,237.0463,236.1854,236.5723,50203837
